11.13631,42.64337,[90] Treppiede Mobile - Vigili U.,90,
11.13956,42.65743,[70] Treppiede VVUU,70,
11.14160,42.66515,[90] Auto Civile Mobile - Vigili U.,90,
11.14200,42.66827,[90] Treppiede Mobile - Polstrada,90,
11.14215,42.62111,[90] Treppiede Mobile - Polstrada,90,
11.14343,42.71563,[90] Treppiede PS,90,
11.15118,42.60792,[70] Treppiede Mobile - Pol.Prov.,70,
11.15575,42.59878,[90] Treppiede Altri Enti,90,
11.15989,42.59170,[90] Treppiede Altri Enti,90,
11.30207,42.71443,[50] Auto Civile Mobile Vigili U.,50,
11.32285,42.69181,[50] Auto Civile Mobile Altri Enti,50,
11.52019,42.59059,[VM] Commenda,
11.55897,42.60680,[VM] SS74 km 38,
11.56088,42.60686,[70] Treppiede Mobile - Altri Enti,70,
10.20154,42.80559,[30] Auto Istituto Mobile Vigili U.,30,
10.23355,42.76252,[30] Treppiede Mobile Vigili U.,30,
10.24319,42.77428,[50] Treppiede Mobile - Vigili U.,50,
10.24528,42.78327,[50] Telelaser Mobile Vigili U.,50,
10.35107,42.79188,[VM] Pol.Prov.LI,
10.38613,43.43988,[VM] VVUU con Telelaser o su treppiede,
10.40190,43.41878,[VM] MUNICIPALE Telelaser,
10.41670,43.42311,[90] Treppiede Mobile Polstrada,90,
10.43671,43.38539,[VM] Pattuglia VVUU Telelaser,
10.43891,43.40186,[30] Telelaser Mobile - Vigili U.,30,
10.44408,43.37992,[VM] SP39 Via Aurelia Rosignano Solvay pattuglia mobile,
10.44538,43.40380,[VM] PS,
10.45935,43.34217,[50] Telelaser Mobile - Vigili U.,50,
10.46063,43.35390,[VM] Vada-via x rosignano,
10.46121,43.35913,[50] Telelaser Mobile VVUU,50,
10.46277,43.34901,[50] Auto VVUU,50,
10.46846,43.32260,[VM] Telelaser VVUU,
10.47626,43.39080,[VM] autovelox,
10.47774,43.35807,[70] Telelaser Mobile Pol.Prov.,70,
10.48542,43.37701,[VM] autovelox,
10.48758,43.37646,[90] Telelaser Mobile PS,90,
10.48910,43.42631,[130] Treppiede Mobile - Polstrada,130,
10.49147,43.41857,[130] A12-E80 Autostrada Azzurra,130,
10.52785,42.93386,[VM] Poco prima del McDonalds,
10.53670,42.94290,[VM] Vle della Repubblica altezza ATM dir Piombino LI,
10.54022,42.94868,[50] Auto Civile Mobile PS,50,
10.53799,42.95548,[90] Telelaser Mobile - Carabinieri,90,
10.53786,42.96264,[50] Auto Istituto Mobile - Polstrada,50,
10.54117,42.96604,[VM] Loc Fiorentina Piombino,
10.53664,43.06309,[70] Treppiede VVUU,70,
10.54388,43.09111,[VM] autovelox,
10.54636,43.10535,[110] Prima delle galleria Dir SUD,110,
10.54131,43.10826,[VM] Casa cantoniera Telelaser,
10.54751,43.12825,[110] S.Vincenzo Variante Aurelia,110,
10.54393,43.28997,[110] Treppiede Mobile Polstrada,110,
10.51992,43.30339,[50] Telelaser Mobile VVUU,50,
10.54611,43.30390,[110] Treppiede Mobile - Polstrada,110,
10.50926,43.30699,[50] Telelaser Mobile VVUU,50,
10.50683,43.32849,[VM] autovelox,
10.52653,43.33046,[110] Treppiede Mobile,110,
10.49875,43.33117,[50] Telelaser Mobile Vigili U.,50,
10.52159,43.33140,[70] autovelox,70,
10.50495,43.34209,[70] Treppiede Mobile - Vigili U.,70,
10.52025,43.34278,[110] Pattuglia Pol stradale,110,
10.50426,43.34677,[70] Treppiede PS,70,
10.50467,43.36642,[110] Telelaser Mobile Polstrada,110,
10.50255,43.39971,[VM] Via roma Dir Castellina Mma,
10.57159,42.99100,[VM] VVUU Piombino,
10.60483,42.96670,[70] Telelaser Mobile CC,70,
10.65409,42.96704,[50] Telelaser Mobile - Vigili U.,50,
10.67068,42.96770,[110] Variante Aurelia Dir SUD,110,
10.71951,42.94723,[110] Follonica Var.Aurelia,110,
10.75722,42.92787,[VM] VVUU,
10.75992,42.93330,[VM] Punto,
10.77332,42.93249,[VM] Via Massetana,
10.77707,42.95150,[110] Auto Istituto Mobile Polstrada,110,
10.78046,42.90429,[50] Auto Istituto Mobile Vigili U.,50,
10.78639,42.89416,[VM] Auto VVUU Scarlino vicino ristorante Il Veliero,
10.81548,42.97494,[50] autovelox,50,
10.81573,42.84318,[VM] radar photored,
10.81651,42.95899,[110] Treppiede PS,110,
10.82565,42.80913,[50] Auto Civile Mobile VVUU,50,
10.82971,42.78667,[70] Auto civetta,70,
10.83611,42.94432,[VM] VVUU scarlino,
10.83732,42.77682,[50] Auto Civile Mobile VVUU,50,
10.83904,42.94468,[50] Auto Istituto Mobile Vigili U.,50,
10.84229,42.77452,[50] Auto Civile Mobile - Altri Enti,50,
10.84284,42.96295,[110] SS1 Via Aurelia Sud PS,110,
10.84943,42.77138,[50] Auto civetta con postazione mobile,50,
