13.654840,41.509260,Sicve INIZIO, A1 Dir Sud Tratto3,13
13.781400,41.461950,Sicve INIZIO, A1 Dir Sud Tratto3,14
13.865060,41.443510,Sicve INIZIO, A1 Dir Sud Tratto3,15
14.064470,41.335400,Sicve INIZIO, A1 Dir Sud Tratto3,16
14.162740,41.180920,Sicve INIZIO, A1 Dir Sud Tratto3,17
14.244310,41.110050,Sicve INIZIO, A1 Dir Sud Tratto3,18
14.317330,41.055630,Sicve INIZIO, A1 Dir Nord Tratto1,1
14.190290,41.151430,Sicve INIZIO, A1 Dir Nord Tratto1,2
14.091410,41.289920,Sicve INIZIO, A1 Dir Nord Tratto1,3
13.914780,41.426240,Sicve INIZIO, A1 Dir Nord Tratto1,4
13.810530,41.455780,Sicve INIZIO, A1 Dir Nord Tratto1,5
13.706700,41.487220,Sicve INIZIO, A1 Dir Nord Tratto1,6
13.523360,41.543250,Sicve INIZIO, A1 Dir Nord Tratto1,7
13.322480,41.616120,Sicve INIZIO, A1 Dir Nord Tratto1,8
13.131800,41.714280,Sicve INIZIO, A1 Dir Nord Tratto1,9
13.028340,41.748870,Sicve INIZIO, A1 Dir Nord Tratto1,10
12.949740,41.760710,Sicve INIZIO, A1 Dir Nord Tratto1,11
12.844910,41.789840,Sicve INIZIO, A1 Dir Nord Tratto1,12
12.805590,41.822930,Sicve INIZIO, A1 Dir Nord Tratto1,13
12.750670,41.907850,Sicve INIZIO, A1 Dir Nord Tratto1,14
12.725860,41.939370,Sicve INIZIO, A1 Dir Nord Tratto1,15
12.623170,42.145730,Sicve INIZIO, A1 Dir Nord Tratto1,16
12.605030,42.176870,Sicve INIZIO, A1 Dir Nord Tratto1,17
12.552390,42.263120,Sicve INIZIO, A1 Dir Nord Tratto1,18
12.470970,42.360440,Sicve INIZIO, A1 Dir Nord Tratto1,19
11.166960,44.519670,Sicve INIZIO, A1 Dir Nord Tratto2,1
10.996990,44.574740,Sicve INIZIO, A1 Dir Nord Tratto2,2
10.823480,44.675000,Sicve INIZIO, A1 Dir Nord Tratto3,1
10.656880,44.723370,Sicve INIZIO, A1 Dir Nord Tratto3,2
10.506190,44.774550,Sicve INIZIO, A1 dir Nord Tratto3,3
10.368800,44.830510,Sicve INIZIO, A1 Dir Nord Tratto3,4
10.247660,44.861850,Sicve INIZIO, A1 Dir Nord Tratto3,5
